card_number,card_name,keywords_on_card
1,Abolish,Armor; Blessing; Dispel
2,Abracardabra,Perform
3,Absorb Magic,Blessing; Dispel; INT
4,Abyssal Anchor,Anger; HEALTH; Maximum
5,Abyssal Bulwark,Inflict Brittle
6,Abyssal Bulwark,Inflict Brittle
7,Abyssal Contempt,Affliction; Bane; Blessing; Convert; Inflict
8,Abyssal Corruption,(areaSpecial)Abyssal Corruption; Abyssal Corruption; Dante; Despair; Increases; Lord
9,Abyssal Corruption Listener,(areaSpecial)Abyssal Corruption; Abyssal Corruption; Dante; Despair; Increases; Lord
10,Abyssal Gaze,Add; Dark Embrace; Inflict; Weakness
11,Acid Breath,
12,Acquire Target,Fades; Improves
13,Acquisition,Delve; GOLD; HOLY; Pay; permaValue
14,Acrobatics,Conjure Knife; Dazed; Empower; Evasion; Gain STR; Toss
15,ActiveUnnaturalCorrosion,Rust
16,Adaptation,After; Immunity
17,Adaptive Edge,Adapt; On Hit
18,Adaptive Stance,Adaptation; Cards; Disarmed; Immune
19,Adrenaline,DEX; DEX DEX
20,Adrenaline Rush,Charges; DEX; Finale; Gain DEX; Performance; performanceStacks
21,Advance,Ambush; Critical Hit; Haste; Melee
22,Aegis,Armor; damageBonus+3; Enable; Equipment; Frenzy; Upgradeable
23,Aeternal Mantle,Activate; Durability; Hymn
24,Aeternal Mitre,Activate; Aeternal; Durability; HOLY
25,Aeternal Staff,Activate; Durability; Performance; Reactivate; Turn
26,Aeternal Summons,Acts; Companion; Follower; Grounded; Memorized; Summon
27,Aeternal Tabard,Activate; Durability; HOLY; Perform
28,Aethershock,After; Chain; Lightning; tempValue+1
29,Afterburn,Inflict Burning; lastDamage
30,Aftershock,Gain Stagger; lastDamage; Stagger
31,Agenda,Corruption; corruptionCards; Gain HEALTH; Turn
32,Aggressive,Anger; Combat; myLevel
33,Agile,Evasion; Gain DEX
34,Agile Mind,Choose; Evasion; Focus; Gain DEX; Gain INT; Memorized
35,Agnosiophobia,(areaSpecial)Agnosiophobia; Add; Agnosiophobia; Combat; Increases; Insanity; Lowered
36,Agonizing Howl,Add; Blessing; difficulty; Dispel; Terrors
37,Agonizing Strike,Impervious
38,Agony,Anger; opponentLastActions
39,Aim and Pray,Burning; damageBonus; Frozen; HEALTH
40,Aimed Shot,Ambush; Critical Hit; Increase; Persistent; tempValue; Turn
41,Alchemic Presence,Conjure; Potion
42,Alignment,Critical Hit; Magic Action
43,Alone in the Dark,Blessings; Darkness; On Hit
44,Alter Memory,Charges; Choose; Memorized
45,Amber Blast,Amber Infusion; Reduce
46,Amber Bomb,difficulty+4; Inflict; Slow
47,Amber Infusion,Cards; enchantmentStacks
48,Amber Shell,Armor
49,Ambition,Consumes; Focus; Upgrade
50,Amp Up,Chain; Lightning Action; magicActionsPlayed
51,Amphibify,Can; Cursed; HEALTH; Persistent; Set; tempValue
52,Amplification,Attunement; damageBonus; Upgradeable
53,Ancient Curse,After; Deadly Effigy; Heavy; tempValue
54,Ancient Markings,Ancestral; Delve; Summon; Totem; Totems
55,Ancient Stirrings,Dragon; Form; Shift
56,Ancient Whetstone,Basic Attack; damageBonus; Grounded; Heavy; On Draw; One Use; Slow
57,Angelic Choir,HEALTH; HOLY; Hymn; Performance
58,Angelic Ward,Impervious; Regain Divinity; Ward
59,Anima,(areaSpecial)Anima; Anima; Foes; Increased; Maximum HEALTH; Reaping; Reduced
60,Anima Listener,(areaSpecial)Anima; Anima; Dealing Reaping; Foes; Maximum HEALTH
61,Anneal,Bleeding; Burning; Inflict
62,Annulling Strike,On Hit; Reaping; Remove
63,Another Round,Conjure; Delirious; Inflict; Potion
64,Antimage Bomb,Blessings; Charge; Dispel; Persistent; Ready; Speed
65,Antimagic Zone,Affliction
66,Anyform Claw,Anyform Claw; Transform
67,Apex Maul,Gain Ferocity
68,Apex Predator,Critical Hit; Darkness; Ferocity; While
69,Apex Strike,Bleeding; Darkness; While
70,Apocalypse,Bury; Conjure; Persistent; s; Solar Lance; Synergy; tempValue+1
71,Aquarius' Dream,Advance; After; Tide
72,Aquarius' Dream II,Advance; After; Tide
73,Aquarius' Dream III,After; Eternity; Spark; Tide
74,Aquatic Clone,After; Basic Attack; Channel; Clones
75,Aquatic Phalanx,Barrier; Clones
76,Arachnid Cutters,Climb; If Wall
77,Arachnid Strike,
78,Arachnid Swarm,Add; Spider Broodlings
79,Arboreal Claws,Increase; NEUTRAL
80,Arcane Alignment,Attunement; Critical Hit; Magic Action
81,Arcane Anvil,Add; Basic Attack; One Use
82,Arcane Arrow,Blessing; Dispel
83,Arcane Barrage,(cardvalue); Arcane Barrage; Mergecraft; Repeat
84,Arcane Blades,Magic Action; Melee Action
85,Arcane Bow,Focus; Foretold; Repeat; Shoot; Stardart; tempValue
86,Arcane Coil,Lightning Bolt
87,Arcane Inkwell,Delve; Mergecraft; One Use
88,Arcane Lance,Free; Mergecraft
89,Arcane Missiles,damageBonus; Mergecraft; Upgrades
90,Arcane Overload,Artifacts; Enchantments; otherEnchantments; Repeat
91,Arcane Quiver,Activate; Arrow; Delve; Durability; Ranged Actions
92,Arcane Ripple,Conjure; Free
93,Arcane Slice,actionsPlayed; Basic Attack; Conjure; Flow; Magic Action; Make
94,Arcane Visions,Conjure; Foretell; foretell+3; Magic Action; Scholar
95,Arcane Ward,
96,Arcane Warding,Barrier; Permanently; permaValue+2
97,Arcane Weaver,Echo; Magic
98,Arcanist's Locket,Focus; Gain INT; INT; While
99,Ardor,Code; Gain Impervious; Gain Zeal; HOLY
