ordinal,source_id,name,slug,category,type,rarity,expansion,color,cost_dex,cost_int,cost_str,cost_holy,cost_neutral,cost_dexint,cost_dexstr,cost_intstr,cost_blood,observed_terms,okf_path
1,541991,Abolish,abolish,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Armor; Blessing; Dispel,cards/0001-abolish-541991.okf.md
2,284905,Abracardabra,abracardabra,Action,Utility,Common,Metamorphosis,Green,1,0,0,0,0,0,0,0,0,Perform,cards/0002-abracardabra-284905.okf.md
3,347323,Absorb Magic,absorb-magic,Action,Magic,Uncommon,Core Extended,Purple,0,0,0,0,0,0,0,1,0,Blessing; Dispel; INT,cards/0003-absorb-magic-347323.okf.md
4,346159,Abyssal Anchor,abyssal-anchor,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Anger; HEALTH; Maximum,cards/0004-abyssal-anchor-346159.okf.md
5,182644,Abyssal Bulwark,abyssal-bulwark,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Inflict Brittle,cards/0005-abyssal-bulwark-182644.okf.md
6,295712,Abyssal Bulwark,abyssal-bulwark,Action,Melee,Monster,None,Monster,0,0,0,0,2,0,0,0,0,Inflict Brittle,cards/0006-abyssal-bulwark-295712.okf.md
7,931847,Abyssal Contempt,abyssal-contempt,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Affliction; Bane; Blessing; Convert; Inflict,cards/0007-abyssal-contempt-931847.okf.md
8,235476,Abyssal Corruption,abyssal-corruption,Action,Melee,Monster,None,Monster,0,0,0,0,0,0,0,0,0,(areaSpecial)Abyssal Corruption; Abyssal Corruption; Dante; Despair; Increases; Lord,cards/0008-abyssal-corruption-235476.okf.md
9,29031234,Abyssal Corruption Listener,abyssal-corruption-listener,Action,Melee,Monster,None,Monster,0,0,0,0,0,0,0,0,0,(areaSpecial)Abyssal Corruption; Abyssal Corruption; Dante; Despair; Increases; Lord,cards/0009-abyssal-corruption-listener-29031234.okf.md
10,259210,Abyssal Gaze,abyssal-gaze,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Add; Dark Embrace; Inflict; Weakness,cards/0010-abyssal-gaze-259210.okf.md
11,927174,Acid Breath,acid-breath,Action,Magic,Monster,None,Monster,0,0,0,0,2,0,0,0,0,,cards/0011-acid-breath-927174.okf.md
12,658314,Acquire Target,acquire-target,Action,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Fades; Improves,cards/0012-acquire-target-658314.okf.md
13,884552,Acquisition,acquisition,Action,Utility,Common,Catalyst,Green,0,0,0,0,1,0,0,0,0,Delve; GOLD; HOLY; Pay; permaValue,cards/0013-acquisition-884552.okf.md
14,946379,Acrobatics,acrobatics,Action,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Conjure Knife; Dazed; Empower; Evasion; Gain STR; Toss,cards/0014-acrobatics-946379.okf.md
15,667516,ActiveUnnaturalCorrosion,activeunnaturalcorrosion,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Rust,cards/0015-activeunnaturalcorrosion-667516.okf.md
16,692848,Adaptation,adaptation,Action,Melee,Monster,None,Monster,0,0,0,0,0,0,0,0,1,After; Immunity,cards/0016-adaptation-692848.okf.md
17,29908,Adaptive Edge,adaptive-edge,Action,Melee,Rare,Synthesis,Red,0,0,1,0,0,0,0,0,0,Adapt; On Hit,cards/0017-adaptive-edge-29908.okf.md
18,528712,Adaptive Stance,adaptive-stance,Form,Utility,Common,Synthesis,Red,0,0,0,0,0,0,0,0,0,Adaptation; Cards; Disarmed; Immune,cards/0018-adaptive-stance-528712.okf.md
19,201420,Adrenaline,adrenaline,Action,Utility,Common,Core,Green,1,0,0,0,0,0,0,0,0,DEX; DEX DEX,cards/0019-adrenaline-201420.okf.md
20,256754,Adrenaline Rush,adrenaline-rush,Action,Utility,Rare,Metaprogress,Green,1,0,0,0,0,0,0,0,0,Charges; DEX; Finale; Gain DEX; Performance; performanceStacks,cards/0020-adrenaline-rush-256754.okf.md
21,932954,Advance,advance,Action,Utility,Common,Metamorphosis,Red,0,0,0,0,0,0,0,0,0,Ambush; Critical Hit; Haste; Melee,cards/0021-advance-932954.okf.md
22,323922,Aegis,aegis,Basic Attack,Utility,Common,Metaprogress,Brown,0,0,0,0,1,0,0,0,0,Armor; damageBonus+3; Enable; Equipment; Frenzy; Upgradeable,cards/0022-aegis-323922.okf.md
23,151403,Aeternal Mantle,aeternal-mantle,Equipment,Divine,Uncommon,Synthesis,Gold,0,0,0,1,0,0,0,0,0,Activate; Durability; Hymn,cards/0023-aeternal-mantle-151403.okf.md
24,20988,Aeternal Mitre,aeternal-mitre,Equipment,Divine,Rare,Synthesis,Gold,0,0,0,2,0,0,0,0,0,Activate; Aeternal; Durability; HOLY,cards/0024-aeternal-mitre-20988.okf.md
25,330381,Aeternal Staff,aeternal-staff,Equipment,Divine,Rare,Synthesis,Gold,0,0,0,2,0,0,0,0,0,Activate; Durability; Performance; Reactivate; Turn,cards/0025-aeternal-staff-330381.okf.md
26,861842,Aeternal Summons,aeternal-summons,Action,Divine,Rare,Synthesis,Gold,0,0,0,0,1,0,0,0,0,Acts; Companion; Follower; Grounded; Memorized; Summon,cards/0026-aeternal-summons-861842.okf.md
27,935116,Aeternal Tabard,aeternal-tabard,Equipment,Divine,Rare,Synthesis,Gold,0,0,0,1,0,0,0,0,0,Activate; Durability; HOLY; Perform,cards/0027-aeternal-tabard-935116.okf.md
28,507703,Aethershock,aethershock,Action,Magic,Uncommon,Catalyst,Orange,0,0,0,0,0,0,3,0,0,After; Chain; Lightning; tempValue+1,cards/0028-aethershock-507703.okf.md
29,108985,Afterburn,afterburn,Action,Magic,Uncommon,Core,Blue,0,1,0,0,0,0,0,0,0,Inflict Burning; lastDamage,cards/0029-afterburn-108985.okf.md
30,239170,Aftershock,aftershock,Action,Utility,Rare,Infinitum,Red,0,0,1,0,0,0,0,0,0,Gain Stagger; lastDamage; Stagger,cards/0030-aftershock-239170.okf.md
31,526755,Agenda,agenda,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Corruption; corruptionCards; Gain HEALTH; Turn,cards/0031-agenda-526755.okf.md
32,908268,Aggressive,aggressive,Affix,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Anger; Combat; myLevel,cards/0032-aggressive-908268.okf.md
33,814172,Agile,agile,Action,Utility,Common,None,Green,0,0,0,0,0,0,0,0,0,Evasion; Gain DEX,cards/0033-agile-814172.okf.md
34,814178,Agile Mind,agile-mind,Action,Utility,Common,Eclypse,Aqua,0,0,0,0,0,1,0,0,0,Choose; Evasion; Focus; Gain DEX; Gain INT; Memorized,cards/0034-agile-mind-814178.okf.md
