keyword,type,description,functions
Affliction,Effect,"A negative effect such as Poison, Bleeding or Dazed. Most Afflictions are additive. They can be prevented with a Ward, or removed by Cleansing",Various
Ambush,Effect,Triggers if this card is the first card played of the round. (Reliable cards also trigger this effect),Deck Management
Ancestral,Effect,Ancestral effects are active while you have 4 or more cards in your Discard Pile,Deck Management
Anger,Blessing,"Increases the damage dealt by Actions by 1 per stack of Anger. (The damage bonus from Anger can, in turn, be doubled by Rampage)","Buff, Offense"
Armor,Other,"When dealt damage, take 1 less damage per stack of Armor. Armor fades at the start of the turn",Defense
Ascend,Effect,"Ascend to a higher form, gaining more powerful buffs for each Ascended level. You can Ascend up to 3 levels",Various
Ascended,Effect,Ascended effects are active while you are currently in an Ascended form,Various
Attune,Effect,"If you are not Attuned already, attune to a random Element. Attunements empower Actions that share their type",Deck Management
Balance,Effect,The remaining number of cards in your deck and remaining Health are both even numbered,Deck Management
Bane,Affliction,"Whenever you gain an Affliction (except Dazzled, Jinxed or Shocked), gain an additional stack of that Affliction for each point of Bane",Debuff
Barrier,Blessing,"When dealt damage, take 1 less non-Piercing damage per stack of Barrier. Barrier does not fade, and can be Dispelled",Defense
Basic Attack,Effect,"Play your Basic Weapon attack. You start the game with several copies of your class-specific Basic Weapon, which may be relatively weak compared to later cards. If you are Disarmed, you cannot play Basic Attack cards. You can pay the Blacksmith 50 Gold to Upgrade all of your Basic Attacks, or 30 Gold to permanently Remove a Basic Attack from your deck. Some rare cards allow you to Swap all your Basic Weapon cards for another",Offense
Beastform,Effect,"4 possible Beastforms provide various powerful buffs (Bear, Cat, Raven, or Dragon). Only 1 Beastform can be active at a time: activating a new Beastform will replace the old one. As a Channeling card, Beastform can be extended by 1 round by having at least 1 Energy at the end of your turn, and ends when you get Interrupted",Various
Bleeding,Affliction,"When dealt damage, take 1 additional damage per stack of Bleeding, then reduce Bleeding stacks by 1",Offense
Blessing,Effect,"A beneficial effect such as Regenerate, Focus or Chain. Most Blessings are additive. They can be removed by Dispelling them",Various
Blood,Effect,"Sacrifice your own blood instead of Energy in order to gain special powers. Goes hand in hand with Corruption, Darkness, Hexes, and Lifedrain","Blood Ritual, Energy Management"
Bloodlust,Effect,"Bloodlust requires the enemy to have the Bleeding Affliction. (Reliable cards also trigger the Bloodlust effect, even when the enemy isn't Bleeding)",Offense
