card_number,card_name,source_id,character,type,rarity,keywords_on_card,okf_path
1,A Thousand Cuts,A_THOUSAND_CUTS,silent,Power,Rare,,cards/0001-a-thousand-cuts-a_thousand_cuts.okf.md
2,Accuracy,ACCURACY,silent,Power,Uncommon,Shivs,cards/0002-accuracy-accuracy.okf.md
3,Acrobatics,ACROBATICS,silent,Skill,Common,Discard; Draw,cards/0003-acrobatics-acrobatics.okf.md
4,Adrenaline,ADRENALINE,silent,Skill,Rare,Draw; Exhaust,cards/0004-adrenaline-adrenaline.okf.md
5,After Image,AFTER_IMAGE,silent,Power,Rare,Block; Innate,cards/0005-after-image-after_image.okf.md
6,Aggregate,AGGREGATE,defect,Skill,Uncommon,draw,cards/0006-aggregate-aggregate.okf.md
7,Alchemize,VENOMOLOGY,silent,Skill,Rare,Exhaust,cards/0007-alchemize-venomology.okf.md
8,All for One,ALL_FOR_ONE,defect,Attack,Rare,discard,cards/0008-all-for-one-all_for_one.okf.md
9,All-Out Attack,ALL_OUT_ATTACK,silent,Attack,Uncommon,Discard,cards/0009-all-out-attack-all_out_attack.okf.md
10,Alpha,ALPHA,watcher,Skill,Rare,draw; Exhaust; Innate,cards/0010-alpha-alpha.okf.md
11,Amplify,AMPLIFY,defect,Skill,Rare,,cards/0011-amplify-amplify.okf.md
12,Anger,ANGER,ironclad,Attack,Common,discard,cards/0012-anger-anger.okf.md
13,Apotheosis,APOTHEOSIS,colorless,Skill,Rare,Exhaust; Upgrade,cards/0013-apotheosis-apotheosis.okf.md
14,Apparition,GHOSTLY,colorless,Skill,Special,Ethereal; Exhaust,cards/0014-apparition-ghostly.okf.md
15,Armaments,ARMAMENTS,ironclad,Skill,Common,Block; Upgrade,cards/0015-armaments-armaments.okf.md
16,Ascender's Bane,ASCENDERSBANE,curse,Curse,Special,Ethereal; Unplayable,cards/0016-ascender-s-bane-ascendersbane.okf.md
17,Auto-Shields,AUTO_SHIELDS,defect,Skill,Uncommon,Block,cards/0017-auto-shields-auto_shields.okf.md
18,Backflip,BACKFLIP,silent,Skill,Common,Block; Draw,cards/0018-backflip-backflip.okf.md
19,Backstab,BACKSTAB,silent,Attack,Uncommon,Exhaust; Innate,cards/0019-backstab-backstab.okf.md
20,Ball Lightning,BALL_LIGHTNING,defect,Attack,Common,Channel; Lightning,cards/0020-ball-lightning-ball_lightning.okf.md
21,Bandage Up,BANDAGE_UP,colorless,Skill,Uncommon,Exhaust,cards/0021-bandage-up-bandage_up.okf.md
22,Bane,BANE,silent,Attack,Common,Poison,cards/0022-bane-bane.okf.md
23,Barrage,BARRAGE,defect,Attack,Common,Orb,cards/0023-barrage-barrage.okf.md
24,Barricade,BARRICADE,ironclad,Power,Rare,Block,cards/0024-barricade-barricade.okf.md
25,Bash,BASH,ironclad,Attack,Basic,Vulnerable,cards/0025-bash-bash.okf.md
26,Battle Hymn,BATTLEHYMN,watcher,Power,Uncommon,Innate,cards/0026-battle-hymn-battlehymn.okf.md
27,Battle Trance,BATTLE_TRANCE,ironclad,Skill,Uncommon,Draw; draw,cards/0027-battle-trance-battle_trance.okf.md
28,Beam Cell,BEAM_CELL,defect,Attack,Common,Vulnerable,cards/0028-beam-cell-beam_cell.okf.md
29,Berserk,BERSERK,ironclad,Power,Rare,Vulnerable,cards/0029-berserk-berserk.okf.md
30,Biased Cognition,BIASED_COGNITION,defect,Power,Rare,Focus,cards/0030-biased-cognition-biased_cognition.okf.md
31,Bite,BITE,colorless,Attack,Special,,cards/0031-bite-bite.okf.md
32,Blade Dance,BLADE_DANCE,silent,Skill,Common,Shivs,cards/0032-blade-dance-blade_dance.okf.md
33,Blasphemy,BLASPHEMY,watcher,Skill,Rare,Divinity; Exhaust; Retain,cards/0033-blasphemy-blasphemy.okf.md
34,Blind,BLIND,colorless,Skill,Uncommon,Weak,cards/0034-blind-blind.okf.md
35,Blizzard,BLIZZARD,defect,Attack,Uncommon,Frost,cards/0035-blizzard-blizzard.okf.md
36,Blood for Blood,BLOOD_FOR_BLOOD,ironclad,Attack,Uncommon,,cards/0036-blood-for-blood-blood_for_blood.okf.md
37,Bloodletting,BLOODLETTING,ironclad,Skill,Uncommon,,cards/0037-bloodletting-bloodletting.okf.md
38,Bludgeon,BLUDGEON,ironclad,Attack,Rare,,cards/0038-bludgeon-bludgeon.okf.md
39,Blur,BLUR,silent,Skill,Uncommon,Block,cards/0039-blur-blur.okf.md
40,Body Slam,BODY_SLAM,ironclad,Attack,Common,Block,cards/0040-body-slam-body_slam.okf.md
41,Boot Sequence,BOOTSEQUENCE,defect,Skill,Uncommon,Block; Exhaust; Innate,cards/0041-boot-sequence-bootsequence.okf.md
42,Bouncing Flask,BOUNCING_FLASK,silent,Skill,Uncommon,Poison,cards/0042-bouncing-flask-bouncing_flask.okf.md
43,Bowling Bash,BOWLINGBASH,watcher,Attack,Common,,cards/0043-bowling-bash-bowlingbash.okf.md
44,Brilliance,BRILLIANCE,watcher,Attack,Rare,,cards/0044-brilliance-brilliance.okf.md
45,Brutality,BRUTALITY,ironclad,Power,Rare,draw; Innate,cards/0045-brutality-brutality.okf.md
46,Buffer,BUFFER,defect,Power,Rare,,cards/0046-buffer-buffer.okf.md
47,Bullet Time,BULLET_TIME,silent,Skill,Rare,draw,cards/0047-bullet-time-bullet_time.okf.md
48,Bullseye,LOCKON,defect,Attack,Uncommon,,cards/0048-bullseye-lockon.okf.md
49,Burn,BURN,colorless,Status,Common,Unplayable,cards/0049-burn-burn.okf.md
50,Burning Pact,BURNING_PACT,ironclad,Skill,Uncommon,Draw; Exhaust,cards/0050-burning-pact-burning_pact.okf.md
51,Burst,BURST,silent,Skill,Rare,,cards/0051-burst-burst.okf.md
52,Calculated Gamble,CALCULATED_GAMBLE,silent,Skill,Uncommon,Discard; draw; Exhaust,cards/0052-calculated-gamble-calculated_gamble.okf.md
53,Caltrops,CALTROPS,silent,Power,Uncommon,,cards/0053-caltrops-caltrops.okf.md
54,Capacitor,CAPACITOR,defect,Power,Uncommon,Orb,cards/0054-capacitor-capacitor.okf.md
55,Carnage,CARNAGE,ironclad,Attack,Uncommon,Ethereal,cards/0055-carnage-carnage.okf.md
