ordinal,source_id,name,slug,character,color,rarity,type,cost,upgrade_cost,observed_terms,okf_path
1,A_THOUSAND_CUTS,A Thousand Cuts,a-thousand-cuts,silent,silent,Rare,Power,2,,,cards/0001-a-thousand-cuts-a_thousand_cuts.okf.md
2,ACCURACY,Accuracy,accuracy,silent,silent,Uncommon,Power,1,,Shivs,cards/0002-accuracy-accuracy.okf.md
3,ACROBATICS,Acrobatics,acrobatics,silent,silent,Common,Skill,1,,Discard; Draw,cards/0003-acrobatics-acrobatics.okf.md
4,ADRENALINE,Adrenaline,adrenaline,silent,silent,Rare,Skill,0,,Draw; Exhaust,cards/0004-adrenaline-adrenaline.okf.md
5,AFTER_IMAGE,After Image,after-image,silent,silent,Rare,Power,1,,Block; Innate,cards/0005-after-image-after_image.okf.md
6,AGGREGATE,Aggregate,aggregate,defect,defect,Uncommon,Skill,1,,draw,cards/0006-aggregate-aggregate.okf.md
7,VENOMOLOGY,Alchemize,alchemize,silent,silent,Rare,Skill,1,0,Exhaust,cards/0007-alchemize-venomology.okf.md
8,ALL_FOR_ONE,All for One,all-for-one,defect,defect,Rare,Attack,2,,discard,cards/0008-all-for-one-all_for_one.okf.md
9,ALL_OUT_ATTACK,All-Out Attack,all-out-attack,silent,silent,Uncommon,Attack,1,,Discard,cards/0009-all-out-attack-all_out_attack.okf.md
10,ALPHA,Alpha,alpha,watcher,watcher,Rare,Skill,1,,draw; Exhaust; Innate,cards/0010-alpha-alpha.okf.md
11,AMPLIFY,Amplify,amplify,defect,defect,Rare,Skill,1,,,cards/0011-amplify-amplify.okf.md
12,ANGER,Anger,anger,ironclad,ironclad,Common,Attack,0,,discard,cards/0012-anger-anger.okf.md
13,APOTHEOSIS,Apotheosis,apotheosis,colorless,colorless,Rare,Skill,2,1,Exhaust; Upgrade,cards/0013-apotheosis-apotheosis.okf.md
14,GHOSTLY,Apparition,apparition,colorless,colorless,Special,Skill,1,,Ethereal; Exhaust,cards/0014-apparition-ghostly.okf.md
15,ARMAMENTS,Armaments,armaments,ironclad,ironclad,Common,Skill,1,,Block; Upgrade,cards/0015-armaments-armaments.okf.md
16,ASCENDERSBANE,Ascender's Bane,ascender-s-bane,curse,curse,Special,Curse,-2,,Ethereal; Unplayable,cards/0016-ascender-s-bane-ascendersbane.okf.md
17,AUTO_SHIELDS,Auto-Shields,auto-shields,defect,defect,Uncommon,Skill,1,,Block,cards/0017-auto-shields-auto_shields.okf.md
18,BACKFLIP,Backflip,backflip,silent,silent,Common,Skill,1,,Block; Draw,cards/0018-backflip-backflip.okf.md
19,BACKSTAB,Backstab,backstab,silent,silent,Uncommon,Attack,0,,Exhaust; Innate,cards/0019-backstab-backstab.okf.md
20,BALL_LIGHTNING,Ball Lightning,ball-lightning,defect,defect,Common,Attack,1,,Channel; Lightning,cards/0020-ball-lightning-ball_lightning.okf.md
21,BANDAGE_UP,Bandage Up,bandage-up,colorless,colorless,Uncommon,Skill,0,,Exhaust,cards/0021-bandage-up-bandage_up.okf.md
22,BANE,Bane,bane,silent,silent,Common,Attack,1,,Poison,cards/0022-bane-bane.okf.md
23,BARRAGE,Barrage,barrage,defect,defect,Common,Attack,1,,Orb,cards/0023-barrage-barrage.okf.md
24,BARRICADE,Barricade,barricade,ironclad,ironclad,Rare,Power,3,2,Block,cards/0024-barricade-barricade.okf.md
25,BASH,Bash,bash,ironclad,ironclad,Basic,Attack,2,,Vulnerable,cards/0025-bash-bash.okf.md
26,BATTLEHYMN,Battle Hymn,battle-hymn,watcher,watcher,Uncommon,Power,1,,Innate,cards/0026-battle-hymn-battlehymn.okf.md
27,BATTLE_TRANCE,Battle Trance,battle-trance,ironclad,ironclad,Uncommon,Skill,0,,Draw; draw,cards/0027-battle-trance-battle_trance.okf.md
28,BEAM_CELL,Beam Cell,beam-cell,defect,defect,Common,Attack,0,,Vulnerable,cards/0028-beam-cell-beam_cell.okf.md
29,BERSERK,Berserk,berserk,ironclad,ironclad,Rare,Power,0,,Vulnerable,cards/0029-berserk-berserk.okf.md
30,BIASED_COGNITION,Biased Cognition,biased-cognition,defect,defect,Rare,Power,1,,Focus,cards/0030-biased-cognition-biased_cognition.okf.md
31,BITE,Bite,bite,colorless,colorless,Special,Attack,1,,,cards/0031-bite-bite.okf.md
32,BLADE_DANCE,Blade Dance,blade-dance,silent,silent,Common,Skill,1,,Shivs,cards/0032-blade-dance-blade_dance.okf.md
33,BLASPHEMY,Blasphemy,blasphemy,watcher,watcher,Rare,Skill,1,,Divinity; Exhaust; Retain,cards/0033-blasphemy-blasphemy.okf.md
34,BLIND,Blind,blind,colorless,colorless,Uncommon,Skill,0,,Weak,cards/0034-blind-blind.okf.md
35,BLIZZARD,Blizzard,blizzard,defect,defect,Uncommon,Attack,1,,Frost,cards/0035-blizzard-blizzard.okf.md
36,BLOOD_FOR_BLOOD,Blood for Blood,blood-for-blood,ironclad,ironclad,Uncommon,Attack,4,3,,cards/0036-blood-for-blood-blood_for_blood.okf.md
37,BLOODLETTING,Bloodletting,bloodletting,ironclad,ironclad,Uncommon,Skill,0,,,cards/0037-bloodletting-bloodletting.okf.md
38,BLUDGEON,Bludgeon,bludgeon,ironclad,ironclad,Rare,Attack,3,,,cards/0038-bludgeon-bludgeon.okf.md
